Code,Short Descriptor,Status ,Can Audio-only Interaction Meet the Requirements?,Medicare Payment Limitations,
77427,Radiation tx management x5,Temporary Addition for the PHE for the COVID-19 Pandemic,,,
90785,Psytx complex interactive,,Yes,,
90791,Psych diagnostic evaluation,,Yes,,
90792,Psych diag eval w/med srvcs,,Yes,,
90832,Psytx w pt 30 minutes,,Yes,,
90833,Psytx w pt w e/m 30 min,,Yes,,
90834,Psytx w pt 45 minutes,,Yes,,
90836,Psytx w pt w e/m 45 min,,Yes,,
90837,Psytx w pt 60 minutes,,Yes,,
90838,Psytx w pt w e/m 60 min,,Yes,,
90839,Psytx crisis initial 60 min,,Yes,,
90840,Psytx crisis ea addl 30 min,,Yes,,
90845,Psychoanalysis,,Yes,,
90846,Family psytx w/o pt 50 min,,Yes,,
90847,Family psytx w/pt 50 min,,Yes,,
90853,Group psychotherapy,,Yes,,
90875,Psychophysiological therapy,Temporary Addition for the PHE for the COVID-19 Pandemic—Added 4/30/20,,Non-covered service,
90951,Esrd serv 4 visits p mo <2yr,,,,
90952,Esrd serv 2-3 vsts p mo <2yr,,,,
90953,Esrd serv 1 visit p mo <2yrs,Available up Through the Year in Which the PHE Ends,,,
90954,Esrd serv 4 vsts p mo 2-11,,,,
90955,Esrd srv 2-3 vsts p mo 2-11,,,,
90956,Esrd srv 1 visit p mo 2-11,Available up Through the Year in Which the PHE Ends,,,
90957,Esrd srv 4 vsts p mo 12-19,,,,
90958,Esrd srv 2-3 vsts p mo 12-19,,,,
90959,Esrd serv 1 vst p mo 12-19,Available up Through the Year in Which the PHE Ends,,,
90960,Esrd srv 4 visits p mo 20+,,,,
90961,Esrd srv 2-3 vsts p mo 20+,,,,
90962,Esrd serv 1 visit p mo 20+,Available up Through the Year in Which the PHE Ends,,,
90963,Esrd home pt serv p mo <2yrs,,,,
90964,Esrd home pt serv p mo 2-11,,,,
90965,Esrd home pt serv p mo 12-19,,,,
90966,Esrd home pt serv p mo 20+,,,,
90967,Esrd svc pr day pt <2,,,,
90968,Esrd svc pr day pt 2-11,,,,
90969,Esrd svc pr day pt 12-19,,,,
90970,Esrd svc pr day pt 20+,,,,
92002,Eye exam new patient,Temporary Addition for the PHE for the COVID-19 Pandemic—Added 4/30/20,,,
